,GEN_VALIDITY,NORMAL_EST,REAL_BOT_EVA,D_Loss_Real,D_Loss_Fake,G_Loss,Time
0,0.4146,0.5197,0.4748,1.7838831,1.8158731,1.3175933,20.4
1,0.4155,0.5579,0.397,1.7298881,1.7827057,2.492364,
2,0.5114,0.3927,0.301,1.6812422,1.79192,3.2618303,
3,0.5145,0.4147,0.2988,1.681123,1.6185213,2.4082208,
4,0.5324,0.5412,0.4286,1.5990231,1.5837867,1.6588035,
5,0.5089,0.6099,0.531,1.6054447,1.5684816,1.5104473,
6,0.4867,0.6336,0.5656,1.5965025,1.5226152,1.5515995,
7,0.4878,0.6608,0.5997,1.591547,1.5446446,1.4680214,
8,0.4859,0.6791,0.6182,1.5817661,1.4330899,1.3647528,
9,0.4832,0.6895,0.6367,1.5451066,1.4115465,1.3981026,
10,0.4908,0.7128,0.6687,1.5392506,1.3697815,1.4424951,
11,0.471,0.7203,0.6718,1.533329,1.3037484,1.3027222,
12,0.482,0.7271,0.6773,1.5394855,1.3127875,1.2478975,
13,0.4838,0.7346,0.678,1.5101589,1.2640307,1.2306085,
14,0.4835,0.7336,0.6798,1.4938376,1.2194628,1.0964255,
15,0.483,0.7405,0.6901,1.4839773,1.193023,1.1498363,
16,0.479,0.7441,0.6908,1.4711945,1.1423836,1.1437128,
17,0.4891,0.7294,0.6723,1.4878746,1.1341244,1.0780256,
18,0.4862,0.7324,0.6749,1.4922049,1.0597447,1.0356903,
19,0.4901,0.7377,0.6825,1.4626355,1.06009,0.97985876,
20,0.4841,0.7264,0.6671,1.4497081,1.0114675,0.96770704,
21,0.481,0.7263,0.6711,1.4734828,1.0023309,0.9335804,
22,0.4804,0.7221,0.6649,1.4515201,0.93207777,0.93814725,
23,0.4792,0.7077,0.649,1.4391098,0.95987225,0.9060942,
24,0.4867,0.6863,0.6282,1.444855,0.9205234,0.89002943,
25,0.4745,0.6784,0.622,1.4031702,0.8930288,0.87430346,
26,0.4833,0.6781,0.6242,1.4651831,0.9001732,0.8876195,
27,0.4745,0.6673,0.6109,1.4169396,0.8589888,0.84438634,
28,0.481,0.6427,0.5839,1.4069269,0.8763211,0.8924489,
29,0.4751,0.6332,0.5787,1.3980563,0.8297652,0.89153135,
30,0.4768,0.6299,0.5776,1.413075,0.86010337,0.8724272,
31,0.4795,0.6114,0.555,1.4088509,0.8176946,0.8444126,
32,0.4749,0.5998,0.5478,1.3786969,0.818226,0.8523431,
33,0.4723,0.5866,0.5346,1.3569493,0.80784315,0.8620534,
34,0.4763,0.5775,0.5243,1.3569589,0.79794663,0.8133759,
35,0.4737,0.5673,0.5116,1.3538547,0.8003735,0.8498829,
36,0.4751,0.5555,0.507,1.3612156,0.779567,0.77542853,
37,0.4709,0.5522,0.5107,1.3487871,0.78210646,0.8511191,
38,0.4684,0.5342,0.4932,1.3324356,0.7638056,0.8557736,
39,0.4748,0.5201,0.481,1.3250285,0.77712864,0.87612534,
