,GEN_VALIDITY,NORMAL_EST,REAL_BOT_EVA,D_Loss_Real,D_Loss_Fake,G_Loss,Time
0,0.4897,0.4863,0.4867,1.6956027,1.691497,1.7111092,32.3
1,0.4174,0.365,0.221,1.6326582,1.691218,3.8871555,
2,0.5144,0.4278,0.2584,1.5909069,1.6275604,2.8551269,
3,0.5296,0.4631,0.3649,1.5324165,1.5820197,1.9819943,
4,0.5305,0.5066,0.4401,1.5018516,1.5799756,1.7112882,
5,0.5252,0.5222,0.4543,1.4989877,1.5695281,1.5859182,
6,0.5238,0.5164,0.4442,1.5002058,1.5185175,1.6096392,
7,0.5159,0.5326,0.4634,1.4825408,1.4932201,1.4809278,
8,0.5044,0.5241,0.4542,1.456754,1.5124822,1.5413777,
9,0.5136,0.5266,0.4597,1.4576753,1.4539583,1.4865811,
10,0.5134,0.5346,0.4571,1.4268198,1.510267,1.569604,
11,0.5165,0.5299,0.459,1.4415921,1.5044022,1.530683,
12,0.5171,0.5254,0.4504,1.4156215,1.4679384,1.4916084,
13,0.5041,0.5318,0.4622,1.4053078,1.398972,1.5229604,
14,0.5154,0.5329,0.4661,1.4053911,1.3877851,1.419441,
15,0.5135,0.5254,0.459,1.4103732,1.4729539,1.4276042,
16,0.5104,0.5205,0.4542,1.3786898,1.4169524,1.4526769,
17,0.5084,0.5116,0.4432,1.3762743,1.3693981,1.4691234,
18,0.5067,0.5109,0.4372,1.3709304,1.4119388,1.4310374,
19,0.5104,0.5083,0.4328,1.3590844,1.3133214,1.3635643,
20,0.5094,0.5094,0.4299,1.3659642,1.2236857,1.2718126,
21,0.5232,0.505,0.4201,1.3617365,1.1687014,1.1510503,
22,0.517,0.5004,0.4055,1.3531349,1.146225,1.1661177,
23,0.5087,0.5238,0.4243,1.341501,1.0993831,1.13119,
24,0.5221,0.5226,0.4214,1.3388746,1.0174427,1.011318,
25,0.514,0.5379,0.4308,1.3373785,1.0056398,1.0847343,
26,0.5131,0.5506,0.4488,1.3256271,0.9576061,0.89679325,
27,0.5178,0.5569,0.4497,1.3292584,0.937442,0.9688822,
28,0.5153,0.5672,0.4629,1.3122814,0.8667675,0.86993766,
29,0.5154,0.5991,0.4821,1.3012515,0.8625833,0.88414514,
30,0.518,0.6164,0.5032,1.3011565,0.8505974,0.8513315,
31,0.5149,0.6355,0.526,1.2906604,0.8347535,0.8389692,
32,0.5186,0.6581,0.5505,1.2805629,0.8158103,0.80827385,
33,0.5213,0.6597,0.5581,1.2662233,0.794843,0.79493004,
34,0.5233,0.6946,0.595,1.2864448,0.8020786,0.7834792,
35,0.5178,0.6996,0.6035,1.2613417,0.7642254,0.7709716,
36,0.5202,0.7157,0.622,1.2566359,0.7632253,0.7981372,
37,0.5195,0.7319,0.644,1.238523,0.7574541,0.74209213,
38,0.5156,0.7293,0.6403,1.2228429,0.7533924,0.7391602,
39,0.5148,0.7467,0.6665,1.2336743,0.74686265,0.751796,
40,0.5185,0.7615,0.6791,1.2049205,0.7366115,0.7346356,
41,0.52,0.7713,0.6804,1.2025474,0.7273839,0.7644923,
42,0.5189,0.7799,0.6833,1.2106322,0.7366943,0.74083954,
43,0.5184,0.7872,0.6965,1.1813009,0.72836965,0.70342493,
44,0.5126,0.8032,0.722,1.1908296,0.7244754,0.7525802,
45,0.5136,0.8059,0.7263,1.173348,0.7203072,0.74113095,
46,0.5148,0.8245,0.7502,1.1689773,0.7283327,0.7465096,
47,0.519,0.827,0.7586,1.1538497,0.7199136,0.72661215,
48,0.5151,0.8317,0.7693,1.1314509,0.71747744,0.73099583,
49,0.5095,0.8418,0.7845,1.1307758,0.71334326,0.71925914,
50,0.5095,0.847,0.7835,1.121566,0.71108484,0.7240479,
51,0.512,0.8504,0.7816,1.1254779,0.7137715,0.70121974,
52,0.5103,0.854,0.7819,1.1069512,0.70116377,0.70558643,
53,0.5138,0.8666,0.7972,1.1247568,0.7136643,0.7121455,
54,0.5074,0.8725,0.8062,1.0865525,0.6991244,0.7166339,
55,0.5097,0.8791,0.8173,1.0888371,0.7037016,0.72829926,
56,0.5087,0.8834,0.8291,1.0784359,0.7017081,0.7160348,
57,0.5045,0.8919,0.8431,1.0705459,0.7014771,0.73204446,
58,0.5057,0.8963,0.8493,1.0633516,0.70248085,0.71566534,
59,0.5008,0.8984,0.8512,1.0538994,0.7028276,0.75137675,
60,0.504,0.9056,0.862,1.0588248,0.69742304,0.7372071,
61,0.5015,0.9119,0.8752,1.0347521,0.6977703,0.7436785,
62,0.4992,0.9195,0.8796,1.0357907,0.69636184,0.7466538,
63,0.4985,0.9197,0.8752,1.0359466,0.693188,0.72808766,
64,0.4993,0.9213,0.8793,1.0230227,0.6931603,0.7311741,
65,0.5016,0.9275,0.893,1.0336169,0.69343203,0.74336,
66,0.4999,0.9331,0.9032,1.0295349,0.6957178,0.7304684,
67,0.4952,0.9314,0.8942,1.0018797,0.68787026,0.74971503,
68,0.5008,0.9352,0.9005,0.9907687,0.6923977,0.7014255,
69,0.4945,0.9387,0.9056,1.0006382,0.6899835,0.74213785,
70,0.4971,0.9431,0.9127,0.99326146,0.6906115,0.7248707,
71,0.4928,0.9424,0.9097,0.9906914,0.6903546,0.7615263,
72,0.4954,0.9502,0.9215,0.9722735,0.69206095,0.725759,
73,0.4929,0.952,0.9246,0.9588825,0.6882948,0.7138697,
74,0.4908,0.9529,0.9306,0.98127,0.6884739,0.7397088,
75,0.49,0.9538,0.9354,0.9685662,0.6871361,0.74270666,
76,0.4934,0.9552,0.9306,0.962962,0.6873857,0.7436044,
77,0.4893,0.9568,0.9325,0.95030785,0.69073284,0.7435632,
78,0.4947,0.9578,0.9328,0.9393208,0.6886191,0.7146881,
79,0.4929,0.963,0.9444,0.94265836,0.68783313,0.7224809,
80,0.4893,0.9653,0.9462,0.9336153,0.6865649,0.7341242,
81,0.4904,0.966,0.9495,0.93059963,0.6891557,0.7702299,
82,0.4913,0.9647,0.9462,0.92655015,0.68418896,0.7384188,
83,0.4887,0.9675,0.949,0.9290567,0.68380743,0.7431379,
84,0.4924,0.9681,0.9485,0.9358289,0.68529207,0.7337883,
85,0.4905,0.9727,0.9577,0.9116022,0.6872921,0.74018097,
86,0.4879,0.9708,0.9524,0.9029429,0.6838382,0.748427,
87,0.4864,0.9744,0.9609,0.9066086,0.6851106,0.72803277,
88,0.4886,0.9755,0.9638,0.88910306,0.68361574,0.74185956,
89,0.4894,0.9786,0.967,0.89800906,0.6835367,0.7392763,
90,0.4895,0.9784,0.9654,0.88517433,0.6824228,0.7303697,
91,0.4862,0.9819,0.9695,0.8943769,0.68386126,0.73150724,
92,0.4866,0.9808,0.9695,0.8916313,0.6817866,0.7416783,
93,0.488,0.9824,0.9695,0.89091825,0.68449116,0.72244,
94,0.4884,0.9839,0.971,0.8731613,0.68359214,0.73024184,
95,0.4864,0.9823,0.9693,0.8871217,0.6839027,0.7464566,
96,0.4873,0.9839,0.9681,0.8761858,0.6834618,0.7188541,
97,0.4856,0.9837,0.9701,0.8746913,0.681606,0.72218555,
98,0.4841,0.9838,0.9713,0.8616319,0.6819476,0.74925625,
99,0.4848,0.9864,0.9729,0.8646641,0.68698114,0.74179584,
100,0.4851,0.9867,0.9725,0.85195464,0.6865511,0.7249979,
101,0.4868,0.9872,0.9758,0.8466805,0.68771607,0.7480569,
102,0.4851,0.988,0.9761,0.853565,0.6824711,0.7450855,
103,0.4846,0.9884,0.9781,0.8571961,0.6848857,0.73348516,
104,0.486,0.9891,0.9795,0.8489454,0.6817282,0.7457072,
