,GEN_VALIDITY,FAKE_BOT_EVA,REAL_NORMAL_EST,REAL_BOT_EVA,D_Loss_Real_Bot,D_Loss_Fake_Bot,D_Loss_Real_Normal,G_Loss,Time
0,0.5835,0.4922,0.54,0.5274,2.4597745,2.5473185,2.519348,1.5834333,7.3
1,0.9819,0.8381,0.7894,0.4927,2.1611142,2.5208316,2.2029335,6.504378,
2,0.9809,0.441,0.832,0.6915,2.0851343,2.3717377,2.1110134,5.0820775,
3,0.8457,0.4349,0.7051,0.5901,2.0385365,2.2635312,2.055389,2.4213996,
4,0.6832,0.3823,0.6331,0.5294,2.000483,2.2159677,2.020236,1.6237047,
5,0.6246,0.421,0.6042,0.5092,1.9743567,2.1498132,1.9851764,1.4060853,
6,0.6155,0.3998,0.5864,0.4816,1.9450548,2.121226,1.9664361,1.2524889,
7,0.6374,0.4221,0.5735,0.469,1.9226093,2.0730014,1.939848,1.1996741,
8,0.6546,0.3919,0.5615,0.4574,1.8970573,2.0490413,1.9038069,1.1197319,
9,0.6518,0.3791,0.5602,0.4382,1.8663698,2.0132613,1.8765696,1.0787057,
10,0.6391,0.3461,0.5553,0.4323,1.8383996,1.9878196,1.8513732,1.0650654,
11,0.6711,0.3532,0.559,0.4103,1.8138964,1.9433887,1.8156152,1.001378,
12,0.644,0.344,0.5546,0.392,1.7844356,1.9299332,1.7920259,0.93771476,
13,0.6402,0.3076,0.5622,0.3763,1.754183,1.9046667,1.7631898,0.96740305,
14,0.6715,0.3109,0.5607,0.3777,1.7254415,1.8718094,1.7317195,0.86978555,
15,0.683,0.2779,0.5682,0.3568,1.6970674,1.8501604,1.7037868,0.86039567,
16,0.6965,0.2877,0.5774,0.3488,1.6635536,1.8215086,1.6728921,0.7845529,
17,0.6821,0.274,0.5795,0.3452,1.6315461,1.7963172,1.6404407,0.7730403,
18,0.6906,0.2566,0.5962,0.3362,1.6000465,1.761525,1.6043129,0.7336582,
19,0.6994,0.2366,0.6008,0.317,1.5681704,1.7341726,1.574648,0.6965012,
20,0.7101,0.236,0.6178,0.3041,1.5357567,1.7158082,1.5432544,0.66586524,
21,0.7035,0.2143,0.6285,0.2957,1.502353,1.6848527,1.5068171,0.6805902,
22,0.72,0.2091,0.6383,0.2901,1.4676665,1.6610066,1.4732981,0.608416,
23,0.7325,0.1943,0.6508,0.2707,1.434581,1.640903,1.438715,0.5971937,
24,0.7166,0.1901,0.6593,0.269,1.4004288,1.6132883,1.40525,0.601316,
25,0.7291,0.1575,0.6627,0.2539,1.3687224,1.588438,1.3718231,0.50747734,
26,0.718,0.1723,0.6829,0.2352,1.3341446,1.5618734,1.3397012,0.5326851,
27,0.7407,0.1566,0.6884,0.234,1.3021685,1.5362365,1.3084414,0.51794904,
28,0.7358,0.1403,0.6892,0.2193,1.2699814,1.5190341,1.2750688,0.45782933,
29,0.7329,0.1335,0.704,0.2079,1.2383728,1.492717,1.2418633,0.4962346,
30,0.7538,0.127,0.7157,0.1976,1.2072992,1.4748011,1.2128787,0.45084858,
31,0.7284,0.1224,0.721,0.187,1.1769638,1.4543654,1.1829755,0.46430948,
32,0.7634,0.1247,0.7332,0.184,1.1489049,1.4362282,1.1519508,0.44059294,
33,0.7504,0.1141,0.7443,0.1722,1.1177115,1.4165664,1.1241498,0.42551112,
34,0.7718,0.1103,0.7489,0.1674,1.0902331,1.4013377,1.0943477,0.3975199,
