,GEN_VALIDITY,FAKE_BOT_EVA,REAL_NORMAL_EST,REAL_BOT_EVA,D_Loss_Real_Bot,D_Loss_Fake_Bot,D_Loss_Real_Normal,G_Loss,Time
0,0.3887,0.5197,0.494,0.5374,2.1760406,2.7849948,2.5893414,0.97228336,13.7
1,0.8582,0.0,0.6706,0.0498,2.113381,2.3748198,2.1335526,1.7245281,
2,0.716,0.0181,0.6559,0.3148,2.0118263,2.2610922,2.0478334,1.0430009,
3,0.7437,0.1955,0.4692,0.3432,2.0056825,2.2268696,1.9975076,1.2036251,
4,0.7614,0.2114,0.4722,0.337,1.9782782,2.1843739,1.9499084,0.93931633,
5,0.7216,0.1905,0.4817,0.3394,1.8928118,2.0957923,1.9078261,0.800382,
6,0.732,0.1926,0.4867,0.348,1.8813326,2.049597,1.8616233,0.7364397,
7,0.7332,0.1915,0.5126,0.3229,1.8113148,1.9958198,1.8203244,0.80959034,
8,0.7358,0.1805,0.5246,0.3086,1.7660116,1.9662333,1.7761457,0.7091564,
9,0.7475,0.1823,0.5389,0.3059,1.7273281,1.9185061,1.730054,0.65284026,
10,0.7715,0.1716,0.5465,0.2954,1.7094595,1.8764445,1.6858,0.5703378,
11,0.7754,0.1716,0.5642,0.2936,1.6281173,1.8393769,1.6396363,0.5858339,
12,0.7815,0.1612,0.5783,0.2672,1.5824269,1.7993443,1.5960969,0.50951815,
13,0.7403,0.1645,0.584,0.2486,1.5360693,1.7617483,1.54333,0.5864229,
14,0.7724,0.168,0.5982,0.2465,1.5016466,1.7222621,1.4959667,0.5306644,
15,0.773,0.1729,0.6091,0.2382,1.4397236,1.6782738,1.4426234,0.52925193,
16,0.7726,0.1401,0.6349,0.2279,1.3966408,1.6463668,1.3984836,0.49392098,
17,0.7954,0.127,0.6482,0.2038,1.3409244,1.6145921,1.3478503,0.43723258,
18,0.812,0.1257,0.6591,0.2079,1.2961106,1.5848702,1.2959061,0.4891221,
19,0.7913,0.1144,0.6754,0.2103,1.2649727,1.5543435,1.2515373,0.38672072,
20,0.8172,0.1106,0.6854,0.1889,1.2014247,1.5200764,1.206041,0.3825976,
21,0.8117,0.0888,0.7014,0.1954,1.1687994,1.4890912,1.1642901,0.3802255,
22,0.8276,0.1084,0.7268,0.1771,1.1176063,1.4623163,1.1149442,0.3092954,
23,0.8452,0.0781,0.7287,0.1657,1.073282,1.4397137,1.0767918,0.2893525,
24,0.845,0.0744,0.7397,0.1543,1.0504968,1.4181352,1.0323466,0.29519612,
25,0.8586,0.0783,0.7616,0.1455,0.996393,1.3974025,0.99368876,0.27615207,
26,0.8509,0.0551,0.7621,0.1429,0.9628987,1.3763165,0.95959616,0.24996775,
27,0.8663,0.0783,0.7743,0.1261,0.9327,1.3610368,0.9278052,0.2359423,
28,0.8389,0.0517,0.7833,0.136,0.89738363,1.3435782,0.8980086,0.24757391,
29,0.8677,0.0562,0.8031,0.1152,0.85860336,1.3297334,0.86317027,0.24315098,
30,0.8612,0.0534,0.8188,0.1167,0.8329116,1.3114864,0.83652586,0.21522462,
31,0.8731,0.0414,0.8248,0.104,0.80445063,1.3038923,0.8077674,0.19854136,
32,0.8657,0.0471,0.8396,0.1028,0.7808924,1.2906404,0.7837269,0.21855292,
33,0.8755,0.0424,0.8375,0.0982,0.7587429,1.2786578,0.7590797,0.1705078,
34,0.8861,0.0334,0.8545,0.0853,0.73304766,1.2697178,0.7369232,0.176247,
35,0.8723,0.0337,0.8651,0.0881,0.71765673,1.2646017,0.7170068,0.19687198,
36,0.898,0.0274,0.8746,0.077,0.7058017,1.2551588,0.69986063,0.15273666,
37,0.8809,0.0327,0.8867,0.074,0.6805393,1.2472932,0.6791646,0.16646942,
38,0.878,0.0322,0.8886,0.073,0.66218007,1.2435311,0.66292006,0.16307002,
39,0.8979,0.0291,0.8938,0.0673,0.6513602,1.2398287,0.6488226,0.15152621,
40,0.8854,0.0266,0.9021,0.0608,0.63290334,1.23454,0.63213354,0.16344132,
41,0.9016,0.0255,0.9114,0.0529,0.6175623,1.2272806,0.61746585,0.14421996,
42,0.9055,0.0223,0.9124,0.0594,0.6073068,1.2245312,0.60684544,0.1296616,
43,0.8954,0.0214,0.9143,0.0536,0.5968827,1.2214172,0.5935908,0.1418608,
44,0.8993,0.019,0.9184,0.0522,0.5818668,1.2180804,0.58222735,0.13163117,
45,0.8973,0.0206,0.9215,0.0474,0.57339835,1.2155236,0.5729333,0.1331385,
46,0.914,0.0181,0.9288,0.0436,0.5612951,1.2130909,0.56246114,0.11726345,
47,0.9148,0.022,0.9342,0.0447,0.5519025,1.2092597,0.55427825,0.1135616,
48,0.9153,0.0176,0.9342,0.0423,0.5428558,1.2059808,0.54491323,0.10958642,
49,0.9092,0.0183,0.9379,0.0383,0.5381356,1.2045478,0.5369387,0.11276992,
50,0.9092,0.0169,0.9414,0.0327,0.5286504,1.2047908,0.5295709,0.1231389,
51,0.9189,0.0157,0.9454,0.0349,0.52153623,1.201624,0.5229744,0.10008159,
52,0.9121,0.0163,0.9473,0.0383,0.51623416,1.1995281,0.5154811,0.101755485,
53,0.9169,0.0119,0.9495,0.0353,0.50854933,1.1969116,0.51060337,0.11300251,
54,0.9175,0.0133,0.9523,0.0305,0.50341207,1.1955671,0.50395006,0.10138667,
55,0.9238,0.0148,0.9505,0.0299,0.49728325,1.1936548,0.49910352,0.09855174,
56,0.9166,0.0133,0.9566,0.0257,0.49244657,1.1932687,0.49377328,0.10358149,
57,0.908,0.0127,0.955,0.0306,0.491754,1.1916884,0.4890325,0.12373085,
58,0.9151,0.0137,0.9602,0.0264,0.48963267,1.1893286,0.4855258,0.103283584,
59,0.9291,0.0114,0.9612,0.0258,0.4818121,1.1889453,0.48020253,0.09446529,
60,0.9236,0.0108,0.9625,0.0242,0.4789825,1.1875566,0.47607285,0.09844903,
61,0.9221,0.0127,0.964,0.0265,0.47142944,1.1862181,0.47296494,0.10229642,
62,0.922,0.0093,0.9665,0.0219,0.4678707,1.1846911,0.46893746,0.09190713,
63,0.9252,0.0094,0.966,0.023,0.46460623,1.1829271,0.46572563,0.09699695,
64,0.9249,0.0083,0.9671,0.0213,0.46081057,1.1815878,0.46271944,0.08532843,
65,0.9293,0.0074,0.9679,0.0199,0.45810717,1.1813315,0.45934454,0.08960872,
66,0.9254,0.0102,0.9704,0.0219,0.45629048,1.1801786,0.45623618,0.09670662,
67,0.929,0.0093,0.9726,0.0181,0.45860586,1.1785318,0.45417333,0.07996112,
68,0.9223,0.0069,0.9732,0.018,0.45266718,1.1775192,0.45208713,0.07812605,
69,0.9228,0.0066,0.9723,0.0195,0.44863138,1.1769484,0.44906616,0.084499545,
70,0.9354,0.0068,0.9745,0.0166,0.44612625,1.1758075,0.44701827,0.08023565,
71,0.926,0.0059,0.9754,0.0156,0.44362426,1.174239,0.4450764,0.08502336,
72,0.9249,0.0075,0.9755,0.0174,0.4421784,1.1729473,0.44283116,0.077124335,
73,0.9263,0.0055,0.977,0.0159,0.44075146,1.1722481,0.44061962,0.075076796,
74,0.9274,0.0055,0.9775,0.0145,0.43827146,1.1712705,0.43957248,0.079376936,
75,0.9263,0.0069,0.9776,0.0151,0.43707627,1.1696783,0.43773252,0.08966753,
