,GEN_VALIDITY,FAKE_BOT_EVA,REAL_NORMAL_EST,REAL_BOT_EVA,D_Loss_Real_Bot,D_Loss_Fake_Bot,D_Loss_Real_Normal,G_Loss,Time
0,0.5062,0.5001,0.4031,0.4848,2.8111148,2.5774088,3.1253738,1.5450549,57.9
1,0.8213,0.0589,0.769,0.189,0.9670909,1.4263632,0.95658,0.27897668,
2,0.849,0.0116,0.95,0.0408,0.5072219,1.2194188,0.50451636,0.18297985,
3,0.8576,0.0044,0.9834,0.0137,0.42834854,1.1721925,0.4279441,0.16278045,
4,0.8643,0.0026,0.9919,0.0067,0.41257945,1.1440711,0.41229513,0.14793482,
5,0.8857,0.0012,0.9963,0.0034,0.40846917,1.1267848,0.40783784,0.12363775,
6,0.9077,0.0008,0.9977,0.0022,0.4067279,1.1166025,0.40655077,0.095440395,
7,0.9128,0.0007,0.9988,0.0012,0.40614745,1.1105523,0.40620255,0.09212532,
8,0.9104,0.0008,0.9995,0.0006,0.40592778,1.1068041,0.4058975,0.09042244,
9,0.9368,0.0008,0.9998,0.0004,0.40578243,1.1046641,0.40570942,0.06572031,
10,0.9418,0.0016,0.9999,0.0002,0.40566763,1.1028467,0.40565255,0.06179221,
11,0.9604,0.0007,0.9999,0.0001,0.4055752,1.1017579,0.40563422,0.04219655,
12,0.9671,0.0004,0.9999,0.0001,0.4056301,1.1010456,0.4056355,0.035671588,
13,0.9736,0.0009,0.9999,0.0001,0.40558967,1.1005042,0.40563935,0.026972545,
14,0.9807,0.0008,0.9999,0.0,0.4055817,1.100172,0.40565255,0.020757966,
15,0.9802,0.0002,0.9999,0.0001,0.40560108,1.0999391,0.4056637,0.021041472,
16,0.9773,0.0005,0.9999,0.0001,0.40557963,1.099816,0.4056653,0.024401579,
17,0.9396,0.0002,1.0,0.0,0.40563375,1.0996536,0.40568304,0.07140451,
18,0.9396,0.001,1.0,0.0,0.40562087,1.0995779,0.40568876,0.06635462,
19,0.9212,0.0006,1.0,0.0,0.40559396,1.0995136,0.40569142,0.08462985,
20,0.9343,0.0001,1.0,0.0,0.40560284,1.0994861,0.4056831,0.068914786,
21,0.93,0.0,1.0,0.0,0.40559083,1.0994488,0.4056883,0.073816806,
22,0.9508,0.0,1.0,0.0,0.40558934,1.0994245,0.4057033,0.05914703,
23,0.9609,0.0,1.0,0.0,0.4056402,1.0994039,0.40571243,0.039760005,
24,0.9685,0.0,1.0,0.0,0.40560362,1.0993962,0.4056889,0.03282205,
25,0.9579,0.0,1.0,0.0,0.40557802,1.0993867,0.40569112,0.043503523,
26,0.9697,0.0,1.0,0.0,0.4056121,1.0993848,0.4056915,0.031609166,
27,0.9748,0.0,1.0,0.0,0.4056148,1.0993787,0.40570945,0.025375985,
28,0.9532,0.0,1.0,0.0,0.40558022,1.0993774,0.40569288,0.0497998,
29,0.9594,0.0,1.0,0.0,0.40562075,1.099375,0.4056918,0.044039164,
30,0.9591,0.0,1.0,0.0,0.40559873,1.0993736,0.40569413,0.04180773,
31,0.919,0.0,1.0,0.0,0.4055858,1.0993836,0.40569714,0.08698041,
32,0.9504,0.0,1.0,0.0,0.40558532,1.0993731,0.40569317,0.053482696,
33,0.9395,0.0,1.0,0.0,0.4056114,1.0993713,0.4057061,0.06735915,
34,0.9506,0.0,1.0,0.0,0.40561962,1.0993742,0.4057097,0.053264625,
35,0.9529,0.0,1.0,0.0,0.4055704,1.0993737,0.40568995,0.052186936,
36,0.9616,0.0,1.0,0.0,0.40557688,1.0993735,0.40570134,0.040763777,
37,0.9636,0.0,1.0,0.0,0.405591,1.0993682,0.4056964,0.037885357,
38,0.9537,0.0,1.0,0.0,0.40558878,1.0993696,0.40570015,0.05005368,
39,0.9509,0.0,1.0,0.0,0.40557572,1.0993676,0.4056928,0.05329675,
40,0.9544,0.0,1.0,0.0,0.40558913,1.0993676,0.4056915,0.04695317,
41,0.9486,0.0,1.0,0.0,0.4055736,1.0993667,0.40568906,0.054019906,
42,0.9506,0.0,1.0,0.0,0.4055775,1.099374,0.40569007,0.0527348,
43,0.9309,0.0,1.0,0.0,0.40557298,1.0993656,0.40569222,0.07388237,
44,0.9218,0.0,1.0,0.0,0.4055979,1.0993652,0.4056905,0.086865395,
45,0.9107,0.0,1.0,0.0,0.4055791,1.0993643,0.4056925,0.095291,
46,0.9022,0.0,1.0,0.0,0.40557986,1.0994529,0.4056916,0.10855796,
47,0.8906,0.0,1.0,0.0,0.40557578,1.0993636,0.40569228,0.11906655,
48,0.9208,0.0,1.0,0.0,0.40557578,1.099364,0.40569085,0.084302016,
49,0.9271,0.0,1.0,0.0,0.40557465,1.0993636,0.40569237,0.07609888,
50,0.903,0.0,1.0,0.0,0.40557438,1.0993624,0.4056899,0.104474515,
51,0.8647,0.0,1.0,0.0,0.4055765,1.0993723,0.40568605,0.14816703,
52,0.8828,0.0,1.0,0.0,0.40557367,1.0993652,0.40569136,0.12695831,
53,0.9119,0.0,1.0,0.0,0.4055868,1.099364,0.40569314,0.095762074,
54,0.9295,0.0,1.0,0.0,0.40558115,1.0993646,0.40569165,0.073415674,
55,0.8708,0.0,1.0,0.0,0.40559486,1.099374,0.40568778,0.1380719,
56,0.8641,0.0,1.0,0.0,0.40557513,1.0993632,0.4056918,0.14766803,
57,0.8891,0.0,1.0,0.0,0.40559748,1.0993617,0.4056929,0.1178408,
58,0.8768,0.0,1.0,0.0,0.40557638,1.0993626,0.4056905,0.13047127,
59,0.8899,0.0,1.0,0.0,0.40557554,1.0993626,0.40568927,0.12415289,
60,0.9369,0.0,1.0,0.0,0.4055597,1.0995828,0.40566972,0.06827001,
61,0.8636,0.0,1.0,0.0,0.4055711,1.0993742,0.40568736,0.14603272,
62,0.8387,0.0,1.0,0.0,0.40557808,1.0993658,0.40568843,0.17894301,
63,0.7888,0.0,1.0,0.0,0.40557364,1.0993606,0.40568998,0.23887369,
64,0.793,0.0,1.0,0.0,0.40557048,1.0993707,0.40568924,0.23410618,
65,0.8143,0.0,1.0,0.0,0.40557405,1.0993671,0.40568873,0.20497958,
66,0.8085,0.0,1.0,0.0,0.4055738,1.0993736,0.40569028,0.21188815,
67,0.8398,0.0,1.0,0.0,0.4055718,1.0993631,0.40570512,0.17579105,
68,0.8224,0.0,1.0,0.0,0.4055781,1.0993646,0.4056966,0.19357017,
69,0.7943,0.0,1.0,0.0,0.40558362,1.099392,0.40569034,0.23274851,
70,0.788,0.0,1.0,0.0,0.4055822,1.0993601,0.4056977,0.23880817,
71,0.7838,0.0,1.0,0.0,0.40557873,1.0993607,0.40569016,0.2433142,
72,0.7909,0.0,1.0,0.0,0.40557355,1.0993598,0.40569347,0.23505841,
73,0.7961,0.0,1.0,0.0,0.40557304,1.0993598,0.40568987,0.23135595,
74,0.83,0.0,1.0,0.0,0.40557215,1.099359,0.40569088,0.19186921,
75,0.8319,0.0,1.0,0.0,0.40557274,1.0993612,0.4056876,0.18416414,
76,0.8636,0.0,1.0,0.0,0.40557948,1.0994003,0.40568906,0.14757788,
77,0.867,0.0,1.0,0.0,0.40557697,1.0993569,0.40568975,0.14267121,
78,0.8727,0.0,1.0,0.0,0.40557116,1.0993562,0.40568918,0.13808931,
79,0.8556,0.0,1.0,0.0,0.40558136,1.099356,0.40569746,0.15687588,
80,0.8537,0.0,1.0,0.0,0.40557608,1.0993559,0.4056894,0.1610142,
81,0.8456,0.0,1.0,0.0,0.40557742,1.0993569,0.4056923,0.16594279,
